,site,region,category,disability_type,title,date,content,original_link,content_link,image
0,강북장애인종합복지관,서울시 강북구,,,"[강북협치] 영화 ""달짝지근해"" 무료관람 참여자 모집","23-08-16
21","강북협치 워킹그룹에서 영화 '달짝지근해' 무료 관람을 진행합니다.
 모두들 함께하셔서, 재밌는 영화도 보고
강북구가 장애&비장애 주민이 모두 활동할 수 있는
턱없는 마을이 될 수 있도록 많은 참여 부탁드립니다.
- 일시 : 8월 19일 (토) 16시
- 영화명 : 달짝지근해
- 장소 : 롯데시네마 수유
- 비용 : 무료
- 신청 링크 : https://naver.me/5fPOHgpI
- 문의 : 02-989-4215 강북협치 턱없는 마을 만들기 간사 조범준
 
 ",http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5537&page=1,http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5537&page=1,['http://www.gangbukrc.or.kr/data/editor/2308/eba1c3f6ff9f93580aecb613e749de8f_1692164638_35.jpg']
1,강북장애인종합복지관,서울시 강북구,,,2023년 2학기(학기 중) 사회복지현장 실습생 모집,"23-07-14
345","2023년 2학기(학기 중) 사회복지현장 실습생 모집 공고
 강북장애인종합복지관에서는 사회복지를 전공하는 학생들에게 전문지식을 실제 현장에서 활용함으로써 이론과 실천을 겸비한 전문인력을 양성하고자 2023년 2학기 사회복지현장 실습생을 아래와 같이 모집합니다. 관심있는 분들의 많은 지원을 바랍니다.
 1. 모집기간 : 2023.7.24.(월)~8.4(금) 2주간
 2. 모집대상 : 사회복지관련학과(부전공 포함) 재학생
- 1급 국가시험 8개 영역 중 4개 영역 이상 이수 우선
- 장애인복지 관련 자원봉사 유경험자 우대
- 장애인 당사자, 장애인 가족 우대
- 장애인복지에 관심이 있는 자
 3. 모집인원 : 총5명
 4. 실습기간 : 2023.9.5.(화)~12.12(화), 09:00~18:00, 매주 화요일 (총20회, 160시간)  
   ※ 총 160시간 이수를 위해 추가활동 요일 있음(실습시작 후 결정)
 5. 실습내용 : 장애인복지의 이해, 장애인복지관 영역별 사업의 이해와 실제(실천) 등
 6. 모집방법 : 신청서(첨부파일) 메일발송(krc4215@hanmail.net)
(※ 지원서 제출 시 메일 제목 : 2023년 2학기 실습신청/이름 명시)
 7. 선정기준 : 상기 실습자격 및 실습신청서 기재 내용에 근거하여 실습생 최종 선정함
 8. 최종선정자 발표 : 2023.8.14.(월), 개별연락
 9. 실습비용 : 10만원(※식대 미포함, 교재비 포함)
 10. 문의 : 자립기획팀 팀장 김은선, 사회복지사 김하성(02-989-4214~8) ",http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5512&page=1,http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5512&page=1,[]
2,강북장애인종합복지관,서울시 강북구,,,2023년 삼복맞이 대중공양,"23-07-13
268","강북장애인복지관에서는 삼복을 맞이하여 아래와 같이 삼복맞이 삼계탕 대중공양을 진행합니다.
많은 분들의 신청바랍니다.
 - 일시 : 2023년 7월 21일(금) / 11:10 ~ 13:10
- 장소 : 본관 3층 식당, 본관 1층 집단활동실(휠체어 이용자)
- 대상 : 본관 이용 장애인 및 보호자 총 200명 *보호자는 식사 지원이 필요한 이용자
- 내용 : 녹두삼계탕, 아식이고추된장무침, 수박, 깍두기 등
- 접수 : 7월 13일(목) ~ 소진 시까지
- 접수 장소 : 본관 1층 안내데스크(복지카드 지참)
 - 문의 : 자립기획팀 유경민 02-989-4215",http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5509&page=1,http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5509&page=1,['http://www.gangbukrc.or.kr/data/file/3010/thumb-2038538508_95ATLxop_ED998DEBB3B4ED8FACEC8AA4ED84B0_600x849.jpg']
3,강북장애인종합복지관,서울시 강북구,,,2023 강북협치 턱없는 마을만들기 '동행하기 문화프로그램' 모집,"23-07-07
272","강북협치 '턱없는 마을 만들기'에서 동행하기 문화프로그램을 진행합니다.
 7월의 활동은 뮤지컬 '써니텐'
10세 이상 관람이며 장애 아동 및 청소년을 모집 중 입니다.
7.22(토) 13시 30분까지 자녀를 대학로 하마씨어터로 데려다 주셔야합니다.
선착순이니 어서 신청하세요!
 
 ",http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5500&page=1,http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5500&page=1,['http://www.gangbukrc.or.kr/data/editor/2307/5f84c0965d76be11a0953cb56f515e14_1688698344_5.jpg']
4,강북장애인종합복지관,서울시 강북구,,,2023년 7월 이미용 서비스 이용자 모집,"23-07-06
273","안녕하세요! 강북장애인복지관 자립기획팀 유경민입니다.
'7월 이미용 서비스' 이용자 모집 안내드립니다.
  - 일시: 2023년 7월 12일(수) / 16:00 ~ 18:00
- 장소: 본관 지하 1층 탈의실
- 대상: 강북구 및 인근 구 거주 장애인(복지카드 소지자) 
       * 선착순 접수 10명
- 신청기간: 2023년 7월 6일(수) ~ 11일(화) / 09:00 ~ 18:00
- 신청접수: 유경민 사회복지사(02-989-4215)/전화 및 방문 접수
 많은 신청 바랍니다.
 ",http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5499&page=1,http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5499&page=1,['http://www.gangbukrc.or.kr/data/file/3010/thumb-2038538508_thFSrX6s_7EC9B94_EC9DB4EBAFB8EC9AA9_ED998DEBB3B4ECA780_600x848.jpg']
5,강북장애인종합복지관,서울시 강북구,,,[놀이로 성장하는 여름방학] 참여자 모집,"23-07-05
276"," 곧 여름방학을 맞는 우리 아이들, 바쁜 일상에서 잠시 쉬어가면서 무언가 특별한 이벤트를 찾고 계시다면 바로 이것입니다.
고학년이 될 수록 우리 아이들에게 가장 필요한 건 바로 '또래관계, 사회성' 입니다. 
또래관계에서 자기를 표현하고, 친구를 이해하고, 나아가 함께하는 연습이 필요한 친구들을 위해
심리치료사 샘이 함께하는 그룹 놀이치료 참여를 희망하는 아동을 모집합니다. 
금번 여름방학을 친구들과 뜨겁게 보내고 싶다면, 신청을 서둘러 주세요~! 
 관련하여 문의사항은 편하게 전화주세요.  
강북장애인종합복지관 맞춤지원팀  
박미경 사회복지사 070-7703-6863
최지원 심리치료사 070-7703-9190
 ★바로가기 신청★
https://naver.me/5QGlQII2 ",http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5497&page=1,http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5497&page=1,['http://www.gangbukrc.or.kr/data/editor/2307/d0c6b61a39455935e9beaba2c42ac5f0_1688964046_79.jpg']
6,강북장애인종합복지관,서울시 강북구,,,'시민옹호인' 모집,"23-06-22
273","안녕하세요. 강북장애인종합복지관 지역옹호팀입니다.
'시민옹호인' 모집 안내 드립니다.
 시민옹호인은 장애인을 옹호하는 마음을 가진 사람입니다.
장애주민, 비장애주민 함께 활동하며 관계를 형성하고 지역사회를 이용하는 활동을 지원합니다.
'친구'의 관계를 형성하여 연락하고 산책하며 서로의 이야기를 나누는 활동을 합니다~!
장애주민, 비장애주민의 많은 관심 부탁드립니다!
궁금한 사항이 있으시면 언제든지 연락주세요.
 신청기한 : 상시모집
신청방법 : 온라인 QR코드, 방문접수
모집 : 장애주민 3명, 비장애주민 7명
  ",http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5478&page=1,http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5478&page=1,['http://www.gangbukrc.or.kr/data/editor/2306/da3fdd1e7db111bc8517791859cd0948_1687421450_96.JPG']
7,강북장애인종합복지관,서울시 강북구,,,'공'감하기 소모임 활동 7월 참여자 모집,"23-06-22
287","안녕하세요. 강북협치 워킹그룹 '턱없는 마을 만들기' 간사 조범준입니다.

'공'감하기 소모임활동은 장애&비장애 주민이 함께 소모임 활동을 하면서, 주민들간의 턱을 없애고자 합니다. 많은 관심과 참여 부탁드립니다.

신청기한 : 6월 26일 ~ 6월 30일
신청방법 : 네이버 폼 작성 https://naver.me/5dygRs8Q
문의 : 네이버 밴드 https://band.us/band/81107667
☎ 02-989-4215 강북협치 간사 조범준(강북장애인종합복지관)
일정 : 7월 3일 월요일 ~ 7월 28일 금요일 매주 1회 (총 4회)
상세내용 : 안내지 참조 
 
 ",http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5476&page=1,http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5476&page=1,['http://www.gangbukrc.or.kr/data/editor/2306/aa51f2ff5a2e4decdcfe0733962fe1ea_1687416180_76.jpg']
8,강북장애인종합복지관,서울시 강북구,,,'역동적 낮 활동' 프로그램 추가 인원 모집,"23-06-20
288","[2023년 평생교육팀 역동적 낮 활동 프로그램 추가 인원모집]


안녕하세요! 강북장애인종합복지관 평생교육팀입니다.
역동적 낮 활동 프로그램 추가 인원 모집 홍보 드립니다.
접수 기간은 인원 마감 시까지 진행될 예정이오니 많은 관심 부탁드립니다.
이외의 궁금한 사항 있으시면 편하게 연락 주세요. 감사합니다!

* 특수체육 A
- 모집 인원 : 발달 지연 및 발달 장애 아동 3명 (초등학생)
- 이용 시간 : 매주 월, 수요일 14:00~14:45
- 이용료 : 12,500원/회


* 특수체육 B
- 모집 인원 : 발달 지연 및 발달 장애 아동 1명 (초등학생)
- 이용 시간 : 매주 화, 목요일 14:00~14:45
- 이용료 : 12,500원/회


* 특수체육 D
- 모집 인원 : 발달 지연 및 발달 장애 아동 1명 (초등학생)
- 이용 시간 : 매주 수, 금요일 15:00~15:45
- 이용료 : 12,500원/회


* 심리운동
- 모집 인원 : 성인 발달 장애인
- 이용 시간 : 매주 화요일 10:00~10:50
- 이용료 : 7,500원/회

* 소도구 트레이닝
- 모집 인원 : 성인장애인 1명
- 이용 시간 : 매주 수, 금요일 10:00~10:50
- 이용료 : 5,000원/회 
 
 ",http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5468&page=1,http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5468&page=1,['http://www.gangbukrc.or.kr/data/editor/2306/b311fa6a8660f37f440232a463d71ec1_1687249501_27.jpg']
9,강북장애인종합복지관,서울시 강북구,,,융합활동 [우리 아이 사회성 기르기] 아동 모집,"23-06-19
268"," 코로나 키즈, 지금 우리 아이 삶에서 가장 중요한 건 사회성 발달입니다. 
소규모 또래관계에서 사회성과 발달을 집중 촉진할 수 있는 활동입니다. 
편하게 상담문의 해 주세요. 
 강북장애인종합복지관 맞춤지원팀  
유지영 작업치료사  070-7703-9334
박미경 사회복지사 070-7703-6863
 ★바로 신청하기★
 온라인 네이버 폼 신청 
http://m.site.naver.com/1afS3
 ",http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5466&page=1,http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5466&page=1,['http://www.gangbukrc.or.kr/data/editor/2306/b3c0b4b572ddffc65f3afd28b2626185_1687158688_02.jpg']
