,site,region,category,disability_type,title,date,content,original_link,content_link,image
0,하상장애인복지관,['서울시'],,전체,2023년 장애공감(인식개선) 교육안내,2023-06-23 09:32:00," <2023년 장애 인식 교육 안내> 
학급 내 장애에 대한 이해 증진과 인식의 변화를 도모하고자 강남구 내 유치원· 초·중·고 학생들을 대상으로 장애인식개선 교육을 실시합니다. 많은 관심과 신청 부탁 드립니다.
1) 신청 기간: ~11/30까지 모집
2) 교육 일정: 2023년 학기 중
3) 교육 내용: 일상생활에서 경험하는 점자 & 점자 표기 교육, 과자/음료/젤리에 직접 점자 라벨 부착 체험 
4) 교육 대상: 영유아, 어린이집, 유치원, 초·중·고 학생
5) 문의 및 신청: 권익옹호팀 백건현(02-560-4233) / 복지관 이메일 주소  ",http://www.hasang.org/recruitment_act/4412,http://www.hasang.org/recruitment_act/4412,"['https://www.hasang.org/data/editor/2306/adc7635388e21c29cbd3e09358bc6ce4_1687737004_5528.png', 'https://www.hasang.org/data/editor/2306/adc7635388e21c29cbd3e09358bc6ce4_1687737004_9843.png', 'https://www.hasang.org/data/editor/2306/adc7635388e21c29cbd3e09358bc6ce4_1687737005_6653.png', 'https://www.hasang.org/data/editor/2306/adc7635388e21c29cbd3e09358bc6ce4_1687737005_9473.png']"
1,하상장애인복지관,['서울시'],,전체,사례관리 참여자 모집,2023-06-21 15:08:00," 


○ 모집 기간 : 상시 
○ 신청 방법: 전화  및 내방 문의 
○ 내용
-  경제, 정신 및 신체 건강, 정서 지원 등 도움이 필요한 경우
-  주변에 도움이 필요하다고 생각되는 분들이 있는 경우 
-  상담이 필요한 경우 등
○ 문의: 권익옹호팀 / 02-560-4234(이해인 사회복지사) , 02-560-4232(윤나라 사회복지사) ",http://www.hasang.org/recruitment_act/4409,http://www.hasang.org/recruitment_act/4409,['https://www.hasang.org/data/editor/2306/229fecbb15e86fa5f671ccfebc7e3ab7_1687327325_0421.jpg']
2,하상장애인복지관,['서울시'],,전체,"말이 늦은 아이 부모의 언어코칭 ""말과 마음을 티키타카"" 프로그램 참여자 모집",2023-06-13 11:03:00,"하상장애인복지관 자립지원팀에서는 
또래에 비해 말이 늦은 아이 부모의 양육 주도성 함양을 위한 
1:1 개별 맞춤형 언어발달 코칭 프로그램 참여자 모집 중에 있습니다. 
많은 참여 부탁드립니다.
    1) 신청 기간: 연중
  2) 모집 대상: 또래에 비해 말이 늦은 아이의 부모
  3) 신청 방법: QR 접속하여 신청서 제출, https://forms.gle/xmuTBESdpyuRz8SP6  링크에 있는 양식으로 신청서 제출
  4) 코칭내용: 일상 생활에서 아동과 부모의 상호작용을 통해 부모가 아동을 이해하고, 아동과
의사소통하는 코칭 방법 안내
  5) 문의: 560-4240 자립지원팀 언어치료사 전미현
       ",http://www.hasang.org/recruitment_act/4406,http://www.hasang.org/recruitment_act/4406,['http://www.hasang.org/data/editor/2306/a98edc5271c4ae72bda2d810de6a2968_1686621573_0939.png']
3,하상장애인복지관,['서울시'],,전체,지역사회 발달지원 컨설팅 참여자 모집,2023-05-16 09:40:00,"   하상장애인복지관에서는 강남구 내 어린이집, 유치원, 초등학교에 재학 중인 발달 지원 서비스 컨설팅에 대한 욕구가 있는 유아동의 개인별 발달 지원계획 수립을 위한 1:1 맞춤형 대면 컨설팅 프로그램 참여자 모집 중에 있습니다. 많은 참여 부탁드립니다.
 1) 신청 기간: 연중
2) 모집 대상: 강남구 내 어린이집, 유치원, 초등학교에 재학 중인
3) 신청 방법: QR 접속하여 신청서 제출
4) 컨설팅내용: 발달 평가 및 개별 맞춤형 컨설팅을 통한 지역사회 내 적응 지원
5) 문의: 560-4240 자립지원팀 언어치료사 전미현
   
 ",http://www.hasang.org/recruitment_act/4401,http://www.hasang.org/recruitment_act/4401,['https://www.hasang.org/gb/data/editor/2305/a5fb61363bccd7cae5ae0831ae85f61d_1684197583_4343.jpg']
4,하상장애인복지관,['서울시'],,전체,직업능력개발지원팀 직업적응훈련생 모집,2023-08-23 10:29:00,"직업능력개발지원팀에서는 성인 장애인의직업생활 및 적응에 필요한 역량 강화를 위하여, 직업적응훈련을 하고있습니다. 직업적응훈련에 참여할 신규 훈련생을 모집하오니 많은 관심과 참여 부탁드립니다.


1. 모집 대상 : 취업 욕구가 있는 만 19세~만 39세 성인 발달장애인
2. 모집 기준과정
 가. 독립적인 신변처리 및 출퇴근 가능한자
 나. 취업의 욕구가 있는 자
 다. 직업평가 및 상황평가 결과에 따른 적격자
3. 이용시간: 매주 월요일~금요일, 9:30~16:30 (최대 6년)
4. 이용료: 훈련비 월 70,000원 식대
5. 훈련수당: 최대 월 100,000원 (작업수당 별도)
6. 모집기간: 상시모집
7. 훈련내용
 가. 개인 및 사회생활훈련: 지역사회 이용, 위생 및 자기관리, 여가활동, 금전관리,
       자치회의, 성교육 등
 나. 작업준비 및 직업수행훈련: 직업 인식 및 탐색, 작업수행 향상훈련, 작업준비 등
 다. 직무능력향상훈련: 제조업, 체력증진, 직업유지능력 향상 등
                                 문의: 직업능력개발지원팀 조현민 02-560-4265


 ",http://www.hasang.org/recruitment_act/4424,http://www.hasang.org/recruitment_act/4424,['https://www.hasang.org/data/editor/2308/ab47d522f8a38552196c222ddc1e793d_1692754143_8853.jpg']
5,하상장애인복지관,['서울시'],,전체,청소년 자립준비 프로그램 '우리두리'교실 프로그램 참여자 추가모집,2023-08-22 16:56:00,"청소년 자립준비 프로그램 '우리두리'교실

  하상장애인복지관 전환기지원팀에서는 우리두리교실에 참여할 청소년을 모집합니다.
 프로그램명: 청소년 자립준비 프로그램 '우리두리'교실
대상자: 장애청소년 (만 13세~24세)
수업시간: 매주 월, 수, 금  / 오후 4시~5시30분
모집인원: 2명 추가모집(대기가능)
수업내용: 일상생활기술, 사회적응력기술, 여가활동 프로그램을 통한 자립능력 강화
수업료: 월 72,000원(1회 약6,000원)
모집기간: 2023년 2월 13일 ~ 모집완료 시 마감
신청 및 문의: 전환기지원팀 안소연 사회복지사 02-560-4213
 ※ 본 프로그램은 선착순 모집이 아닌 대상자 상담 후 회의를 통해 선정됩니다.",http://www.hasang.org/recruitment_act/4423,http://www.hasang.org/recruitment_act/4423,['http://www.hasang.org/data/editor/2308/cb95bb745f5b3a60238cac0ea1232050_1692690984_0638.jpg']
6,하상장애인복지관,['서울시'],,전체,신나는 예술여행2 - 호크마댄스씨어터 문화예술공연,2023-08-18 15:48:00,"한국장애인복지관협회와 한국문화예술위원회의 지원으로 전문예술단체를 파견하여 
문화향유를 보다 가깝고 편리하게 할 수 있는 ""신나는 예술여행"" 을 진행합니다.
1. 공연명: '공주를 찾습니다'  호크마댄스씨어터 문화예술공연
2. 장소: 하상장애인복지관 지하강당 
3. 일시: 2023.8.29.(화) 오전 10시 
4. 참여대상: 지역주민 누구나
5. 관람비: 무료
6. 문의: 자립지원팀 이미정 (02-560-4242)

더운 여름, 복지관에서 열리는 즐거운 공연 관람 하시며 시원하고 행복한 시간 만드시길 바랍니다.",http://www.hasang.org/recruitment_act/4422,http://www.hasang.org/recruitment_act/4422,['http://www.hasang.org/data/file/recruitment_act/ce053e035720d008034b9f0b2a8596e3_Xy2HiJoc_067cf31d04f6b26e6de83520e99675cb22c17b46.jpg']
7,하상장애인복지관,['서울시'],,전체,영어점자교육반 교육생 모집,2023-08-01 13:29:00," 
「영어 점자 교육반」 교육생 모집 안내문
 ※ 본 사업은 지방자치단체 복권기금협의회의 지원을 받아 운영되고 있습니다.
 하상장애인복지관 성인평생학습팀에서는 ‘통일영어점자’를 배우고자 하는 교육생을 모집하고자 합니다. 본 교육에 관심 있는 분들의 많은 참여 부탁드립니다.
 - 아 래 -
 1. 과 정 명: 영어 점자 교육반
2. 대 상 자: 1) 3급 이상의 점역‧교정사 자격증을 소지한 자 
                  2) 하반기(제44회) 점역‧교정사(영어) 시험에 응시할 자 
3. 모집인원: 5명
4. 교육기간: 2023년 08월 17일~10월 26일 (매주 목요일, 총 10회)
5. 교육시간: 19:00~21:00 (2시간)
6. 교육방법: 온라인 수업
7. 교육내용: 통일영어점자 규정, 기출문제 풀이
8. 교 재: [개정] 통일영어점자 해설서
(* 「점자세상(http://www.braillekorea.org)」 내 ‘문헌자료실’에서 다운로드)
9. 교 육 비: 20,000원
10. 신청기간: 2023년 08월 01일(화)~08월 10일(목) 17시까지
(* 모집인원 초과 시 사례회의를 통해 대상자를 선정하여 합격자에게 개별 연락함)
11. 접수방법: 전화 02-560-4293",http://www.hasang.org/recruitment_act/4421,http://www.hasang.org/recruitment_act/4421,['https://www.hasang.org/data/editor/2308/dec29b1daa1d868632f13a55279d72c4_1690870283_4934.jpg']
8,하상장애인복지관,['서울시'],,전체,2024년 22회 대비 사회복지사 1급 수험서 보급 안내,2023-08-01 13:12:00,"2024년 22회 대비 사회복지사1급 수험서 보급 안내

하상장애인복지관 성인평생학습팀에서는 2024년에 시행되는 사회복지사 1급 시험을 대비하여
나눔북에서 출판한 수험서를 전자도서로 제작하였습니다. 사회복지를 공부하는 분께 도움이 되기 바라며,
수험생 여러분들의 합격을 기원합니다. 관심 있는 분들은 아래 신청 양식에 따라 신청해주시기 바랍니다.

- 도서정보: 기본이론서(1교시 사회복지기초 / 2교시 사회복지실천 / 3교시 사회복지 정책과 제도), 핵심요약집, 기출문제(문제편/해설편)
- 출판사: 나눔book
- 발행일: 2023년 4월
- 제작형태: 전자도서(데이지 파일)
- 접수: ~12월 29일(금)
- 보급: 기본이론서, 핵심요약집-8월 1일(화)~12월 29일(금)
           기출문제-8월 11일(금)~12월 29(금)
- 신청방법(이메일): 넓은마을 복지관 이메일 주소 또는 복지관 이메일 주소
- 신청양식: 메일 제목에 “사회복지 수험서 신청”이라고 꼭 기입해주시고 아래 양식에 따라 작성해주세요.
----------
메일 제목: 사회복지 수험서 신청
1. 성명:
2. 생년월일:
3. 성별:
4. 장애등급:
5. 전화번호:
6. 주소: (행정구역의 ‘구’또는 ‘읍’까지 간략하게 적어주세요. (예) 서울시 강남구, 남양주시 와부읍 등)
7. 받으실 메일 주소: (미기입시 신청서 보내주신 메일 주소로 등록)
----------
※ 하상장애인복지관 학습자료지원센터에 등록되지 않았거나 온소리 회원이 아니신 경우, 복지 카드 사본을 이메일이나 팩스로 보내주셔야 합니다.
메일 주소: 넓은마을 복지관 이메일 주소 또는 복지관 이메일 주소
팩스: 02) 459-4377
※ 문의사항: 02-560-4293
※ 본 사업은 지방자치단체 복권기금협의회의 지원을 받아 운영되고 있습니다.",http://www.hasang.org/recruitment_act/4419,http://www.hasang.org/recruitment_act/4419,[]
9,하상장애인복지관,['서울시'],,전체,2023 중장년 발달장애인 낮활동 프로그램 [하상동락 3050] 이용자 모집,2023-08-01 11:18:00,"자립지원팀에서는 중장년 발달장애인의 의미 있고 즐거운 일상생활의 확대를 목적으로 하여 개별적 욕구에 맞춘
문화예술활동 중심의 낮 활동 프로그램을 진행합니다.
 본 프로그램에 함께하실 이용자 모집하오니, 많은 관심과 신청바랍니다.
 1. 프로그램명 : 2023 중장년 발달장애인 낮활동 프로그램 [하상동락 3050]
2. 모집대상 :  35세 ~ 55세 발달장애인 (만나이기준) - 신변처리, 그룹 및 외부활동 참여 가능한 참가자
3. 이용일시 :  주 4일(월,화,목,금) 10:00-15:00
4. 이용료 : 월 100,000원(식비별도)
5. 프로그램 내용 :  기초자립생활활동, 문화예술교육활동 , 건강관리활동, 지역사회시설활용 활동, 인지 활동 등 
  (자세한 내용은 첨부파일 안내문 참고)
6. 신청방법 :  전화문의 ▶ 방문상담/초기면접(신청자, 보호자 동행) ▶ 서류작성 및 제출 ▶ 1차 선정회의 ▶ 이용신청완료 
7. 제출서류 : ① 프로그램 신청서 ② 개인정보동의서 ③ 장애인복지카드 사본 1부
8. 신청기간 :  2023. 8.1. ~ 모집 완료시
9. 문의 : 자립지원팀 이미정 (02-560-4242)",http://www.hasang.org/recruitment_act/4418,http://www.hasang.org/recruitment_act/4418,['http://www.hasang.org/data/file/recruitment_act/ce053e035720d008034b9f0b2a8596e3_g2qepfKt_e0d7d6f648cbab312d7b52dc7b991ae5925843f5.jpg']
