,site,region,category,disability_type,title,date,content,original_link,content_link,image
0,마포장애인가족지원센터,"['서울시', '마포구']",,,[한우리정보문화센터] 온라인 부모교육(변화하는 복지정책 장애인 개인예산제바로알기),2023-08-29,,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16173293&t=board,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16173293&t=board,['https://cdn.imweb.me/upload/S20200203b363d655d73a8/dde48c0db8c37.png']
1,마포장애인가족지원센터,"['서울시', '마포구']",,,[서울시서북보조기기센터] 서울시 장애인 의류리폼사업,2023-08-24,,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16122300&t=board,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16122300&t=board,['https://cdn.imweb.me/upload/S20200203b363d655d73a8/91dea3b516f1a.png']
2,마포장애인가족지원센터,"['서울시', '마포구']",,,[마포구정신건강복지센터] 자살예방의날기념행사(생명존중토크매직쇼),2023-08-18,,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16074473&t=board,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16074473&t=board,['https://cdn.imweb.me/upload/S20200203b363d655d73a8/ab50938f27a3a.png']
3,마포장애인가족지원센터,"['서울시', '마포구']",,,[마포발달장애인 문화창작소] 연극<pIAy factory 놀이 다 노닐다>참여자모집,2023-08-18,,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16071463&t=board,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16071463&t=board,['https://cdn.imweb.me/upload/S20200203b363d655d73a8/0f495c0218782.png']
4,마포장애인가족지원센터,"['서울시', '마포구']",,,[라이브러리피치] 라피치 살롱 프로그램 참여 모집,2023-08-17,,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16065951&t=board,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16065951&t=board,['https://cdn.imweb.me/upload/S20200203b363d655d73a8/77fe6e64f3073.png']
5,마포장애인가족지원센터,"['서울시', '마포구']",,,[전국장애인부모연대] 제7회 대한민국 인식 개선 콘텐츠 공모전,2023-08-16,,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16049847&t=board,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16049847&t=board,['https://cdn.imweb.me/upload/S20200203b363d655d73a8/ccedeaeeaf283.png']
6,마포장애인가족지원센터,"['서울시', '마포구']",,,[국립정신건강센터] 2023년 발달장애인 부모교육 워크숍 참여,2023-08-16,,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16049825&t=board,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16049825&t=board,['https://cdn.imweb.me/upload/S20200203b363d655d73a8/8718db7385c38.png']
7,마포장애인가족지원센터,"['서울시', '마포구']",,,[전국장애인부모연대] 2023합창 <노래 같이불러요> 참여자모집,2023-08-01,,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=15921265&t=board,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=15921265&t=board,['https://cdn.imweb.me/upload/S20200203b363d655d73a8/c266555c00930.jpg']
8,마포장애인가족지원센터,"['서울시', '마포구']",,,[(주)우리행성]제1회성민복지관.(주)우리행성 발달장애인 그림공모전,2023-07-24,,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=15822490&t=board,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=15822490&t=board,['https://cdn.imweb.me/upload/S20200203b363d655d73a8/6586a8bb597d9.png']
9,마포장애인가족지원센터,"['서울시', '마포구']",,,[마포복지재단] 장애인행복동행하우스 이용인 모집,2023-07-18,,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=15746948&t=board,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=15746948&t=board,['https://cdn.imweb.me/upload/S20200203b363d655d73a8/0daa902644b18.png']
