,site,region,category,disability_type,title,date,content,original_link,content_link,image
0,노들장애인자립센터,['서울시'],,전체,노들센터 2023 집단자립지원프로그램 참여자 모집,2023-08-26 01:00:11.164495,,http://ncil.or.kr/events_news/12279,http://ncil.or.kr/events_news/12279,[]
1,노들장애인자립센터,['서울시'],,전체,[홍보] 2023년 종로구 장애인 자립생활 지원 정책토론회,2023-08-26 01:00:11.654796,,http://ncil.or.kr/events_news/12262,http://ncil.or.kr/events_news/12262,[]
2,노들장애인자립센터,['서울시'],,전체,노들장애인자립생활센터 장애인자립생활주택 운영 담당 활동가[육아휴직 대체인력] 모집 공고,2023-08-26 01:00:12.028113,,http://ncil.or.kr/events_news/12257,http://ncil.or.kr/events_news/12257,[]
3,노들장애인자립센터,['서울시'],,전체,[신청마감]2023년 제12회 종로노들보치아대회 참가 신청 안내,2023-08-26 01:00:12.441089,,http://ncil.or.kr/events_news/12248,http://ncil.or.kr/events_news/12248,[]
4,노들장애인자립센터,['서울시'],,전체,<2023년 거주시설연계사업> 인강원 거주인 인권교육,2023-08-26 01:00:12.952669,,http://ncil.or.kr/events_news/12240,http://ncil.or.kr/events_news/12240,[]
5,노들장애인자립센터,['서울시'],,전체,제8회 종로장애인인권영화제 활동소식,2023-08-26 01:00:14.376349,,http://ncil.or.kr/events_news/12229,http://ncil.or.kr/events_news/12229,[]
6,노들장애인자립센터,['서울시'],,전체,2023년 동료상담가 보수교육 심화과정 안내,2023-08-26 01:00:14.766134,,http://ncil.or.kr/events_news/12224,http://ncil.or.kr/events_news/12224,[]
7,노들장애인자립센터,['서울시'],,전체,2023년 상반기 활동지원 이용자 보수교육 안내,2023-08-26 01:00:15.182303,,http://ncil.or.kr/events_news/12221,http://ncil.or.kr/events_news/12221,[]
8,노들장애인자립센터,['서울시'],,전체,서울형 권리중심 중증장애인 맞춤형 공공일자리 사업 담당 활동가 모집 공고,2023-08-26 01:00:15.605493,,http://ncil.or.kr/events_news/12094,http://ncil.or.kr/events_news/12094,[]
9,노들장애인자립센터,['서울시'],,전체,[2023년 거주시설연계사업] 인강원 종사자 인권교육,2023-08-26 01:00:16.008387,,http://ncil.or.kr/events_news/12088,http://ncil.or.kr/events_news/12088,[]
10,노들장애인자립센터,['서울시'],,전체,제8회 종로장애인인권영화제가 열립니다!,2023-08-26 01:00:17.892410,,http://ncil.or.kr/events_news/12081,http://ncil.or.kr/events_news/12081,[]
11,노들장애인자립센터,['서울시'],,전체,노들장애인자립생활센터 거주시설연계사업 담당자(탈시설 지원 관련) 모집 (재공고),2023-08-26 01:00:18.327874,,http://ncil.or.kr/events_news/12070,http://ncil.or.kr/events_news/12070,[]
12,노들장애인자립센터,['서울시'],,전체,2023년 상반기 활동지원사 보수교육 안내,2023-08-26 01:00:18.748456,,http://ncil.or.kr/events_news/12068,http://ncil.or.kr/events_news/12068,[]
13,노들장애인자립센터,['서울시'],,전체,2023년 개별동료상담 참여자 모집 안내,2023-08-26 01:00:19.200279,,http://ncil.or.kr/events_news/12016,http://ncil.or.kr/events_news/12016,[]
14,노들장애인자립센터,['서울시'],,전체,노들장애인자립생활센터 거주시설연계사업 담당자(탈시설 지원 관련) 모집 (재공고),2023-08-26 01:00:19.688720,,http://ncil.or.kr/events_news/12013,http://ncil.or.kr/events_news/12013,[]
15,노들장애인자립센터,['서울시'],,전체,2023년 종로 노들 보치아교실 시작합니다 :-),2023-08-26 01:00:20.218061,,http://ncil.or.kr/events_news/12008,http://ncil.or.kr/events_news/12008,[]
16,노들장애인자립센터,['서울시'],,전체,2023년 자립욕구공유회 시즌4 자립의 숲,2023-08-26 01:00:20.680918,,http://ncil.or.kr/events_news/12001,http://ncil.or.kr/events_news/12001,[]
17,노들장애인자립센터,['서울시'],,전체,노들센터 2023년 정기총회 안내,2023-08-26 01:00:21.112596,,http://ncil.or.kr/index.php?mid=events_news&page=2&document_srl=11987,http://ncil.or.kr/index.php?mid=events_news&page=2&document_srl=11987,[]
18,노들장애인자립센터,['서울시'],,전체,[신청마감] 2023년 IL센터 활동가 실무교육 - 발달장애인 조력자 교육 참여자 모집,2023-08-26 01:00:21.564814,,http://ncil.or.kr/index.php?mid=events_news&page=2&document_srl=11984,http://ncil.or.kr/index.php?mid=events_news&page=2&document_srl=11984,[]
19,노들장애인자립센터,['서울시'],,전체,2023년 노들센터 센터지원사업 안내,2023-08-26 01:00:22.070279,,http://ncil.or.kr/index.php?mid=events_news&page=2&document_srl=11976,http://ncil.or.kr/index.php?mid=events_news&page=2&document_srl=11976,[]
20,노들장애인자립센터,['서울시'],,전체,노들장애인자립생활센터 활동지원사업 코디네이터 모집 공고,2023-08-26 01:00:22.512596,,http://ncil.or.kr/index.php?mid=events_news&page=2&document_srl=11970,http://ncil.or.kr/index.php?mid=events_news&page=2&document_srl=11970,[]
21,노들장애인자립센터,['서울시'],,전체,노들센터 전체사업 2022년 결산 및 2023년 예산 공고,2023-08-26 01:00:22.961888,,http://ncil.or.kr/index.php?mid=events_news&page=2&document_srl=11933,http://ncil.or.kr/index.php?mid=events_news&page=2&document_srl=11933,[]
22,노들장애인자립센터,['서울시'],,전체,- 노들장애인자립생활센터 - 상근 활동가를 모집합니다.,2023-08-26 01:00:23.417945,,http://ncil.or.kr/index.php?mid=events_news&page=2&document_srl=11931,http://ncil.or.kr/index.php?mid=events_news&page=2&document_srl=11931,[]
