,site,region,category,disability_type,title,date,content,original_link,content_link,image
0,성동장애인가족지원센터,"['서울시', '성동구']",,,성동장애인가족지원센터 사업안내 (리플렛),2023-03-22, ,http://m.seongdongdfsc.or.kr/bbs_shop/read.htm?me_popup=&auto_frame=&cate_sub_idx=0&search_first_subject=&list_mode=board&board_code=board2&search_key=&key=&page=&idx=115176,http://m.seongdongdfsc.or.kr/bbs_shop/read.htm?me_popup=&auto_frame=&cate_sub_idx=0&search_first_subject=&list_mode=board&board_code=board2&search_key=&key=&page=&idx=115176,['http://m.seongdongdfsc.or.kr/img_up/shop_pds/seongdongdfs/bbs/board2/add_img/2023/seong-dong-jang-ae-in-ga-jok-ji-won1679464919.jpg']
1,성동장애인가족지원센터,"['서울시', '성동구']",,,"★상시★ ""맘강사가 직접 강의하는 장애 바로알기""(장애인식개선교육) 신청 상시 접수 안내",2023-01-04,"성동장애인가족지원센터에서는 “맘강사가 직접 강의하는 장애 바로알기”(장애인식개선교육)을 상시진행중입니다.
  교육대상 : 성동구 내 장애인식개선을 필요로 하는 학교, 기관 및 단체, 주민 등
교육신청 : 교육일 기준 최소 한 달 전 신청서 작성 후 이메일 (sd-family@naver.com) 신청
비용 : 무료
  궁금하신 점은 언제든지 연락바랍니다. (070-5030-4404 조유정 사회복지사)
감사합니다.",http://m.seongdongdfsc.or.kr/bbs_shop/read.htm?me_popup=&auto_frame=&cate_sub_idx=0&search_first_subject=&list_mode=board&board_code=board2&search_key=&key=&page=&idx=108321,http://m.seongdongdfsc.or.kr/bbs_shop/read.htm?me_popup=&auto_frame=&cate_sub_idx=0&search_first_subject=&list_mode=board&board_code=board2&search_key=&key=&page=&idx=108321,['http://m.seongdongdfsc.or.kr/img_up/shop_pds/seongdongdfs/bbs/board2/add_img/2023/seong-dong-jang-ae-in-ga-jok-ji-won1672797003.jpg']
2,성동장애인가족지원센터,"['서울시', '성동구']",,,[홍보] 성동장애인종합복지관 발달지연 및 장애자녀 부모심리 지원사업 참여자 모집,2023-09-25,"성동장애인종합복지관에서는 초기 장애아동을 둔 부모님의 정서적, 사회적 부담을 완화하고, 심리적 회복을 통한 장애자녀의 건강하고 긍정적인 성장을 도모하기 위하여 다음과 같이 ""발달지연 및 장애자녀 부모심리 지원사업""을 진행하고자 합니다. 많은 부모님과 가족분들의 관심과 적극적인 참여를 바랍니다.
  1. 사업명 : 발달지연 및 장애자녀의 부모심리 지원사업
2. 참여대상 : 만 3-6세(17년생 ~ 20년생)에 해당하는 장애(발달지연) 아동과 주 양육자(엄마 또는 아빠 누구나)
3. 내용
  1) 엄마아빠만! 주양육야 집단 심리상담(4회기)
    - 10월 18일(수) ~ 11월 8일(수) / 10시 ~ 11시 20분
    - 강사 : 이경아(도닥임아동발달센터장)
  2) 아이랑 함께! 자녀와 함께 하는 놀이 미술활동
    - 주1회 / 총 4회기 / 참여자분들과 논의 후 일정은 추후 확정됩니다.
  3) 우리가족 나들이!
    - 일정 : 추후 확정
4. 참가비 : 1가정당 5만원(프로그램 8회기 및 나들이 포함)
5. 진행장소 : 복지관 프로그램실
6. 신청방법 
   - QR코드 링크를 통한  신청 (https://naver.me/x2hIrkS0)
   - 전화신청 : 02-2290-3115 / 3123 (상담사례지원팀)  
   - 신청기간 : 10월 16일(월)까지",http://m.seongdongdfsc.or.kr/bbs_shop/read.htm?me_popup=&auto_frame=&cate_sub_idx=0&search_first_subject=&list_mode=board&board_code=board2&search_key=&key=&page=&idx=136951,http://m.seongdongdfsc.or.kr/bbs_shop/read.htm?me_popup=&auto_frame=&cate_sub_idx=0&search_first_subject=&list_mode=board&board_code=board2&search_key=&key=&page=&idx=136951,['http://m.seongdongdfsc.or.kr/img_up/shop_pds/seongdongdfs/bbs/board2/add_img/2023/kakaotalk_20230925_1550209321695625012.jpg']
3,성동장애인가족지원센터,"['서울시', '성동구']",,,2023년 이룸통장 만기적립금 온라인 신청 안내,2023-09-25,"< 2023년 이룸통장 만기적립금 온라인 신청 안내 >
  ※온라인 신청 사이트 주소 ☞ https://account.welfare.seoul.kr
     ",http://m.seongdongdfsc.or.kr/bbs_shop/read.htm?me_popup=&auto_frame=&cate_sub_idx=0&search_first_subject=&list_mode=board&board_code=board2&search_key=&key=&page=&idx=136881,http://m.seongdongdfsc.or.kr/bbs_shop/read.htm?me_popup=&auto_frame=&cate_sub_idx=0&search_first_subject=&list_mode=board&board_code=board2&search_key=&key=&page=&idx=136881,"['http://m.seongdongdfsc.or.kr/img_up/shop_pds/seongdongdfs/bbs/board2/add_img/2023/on-ra-in11695603916.png', 'http://m.seongdongdfsc.or.kr/img_up/shop_pds/seongdongdfs/bbs/board2/add_img/2023/on-ra-in21695603926.png', 'http://m.seongdongdfsc.or.kr/img_up/shop_pds/seongdongdfs/bbs/board2/add_img/2023/on-ra-in31695603941.png', 'http://m.seongdongdfsc.or.kr/img_up/shop_pds/seongdongdfs/bbs/board2/add_img/2023/on-ra-in41695603948.png', 'http://m.seongdongdfsc.or.kr/img_up/shop_pds/seongdongdfs/bbs/board2/add_img/2023/on-ra-in51695603955.png', 'http://m.seongdongdfsc.or.kr/img_up/shop_pds/seongdongdfs/bbs/board2/add_img/2023/on-ra-in61695603965.png', 'http://m.seongdongdfsc.or.kr/img_up/shop_pds/seongdongdfs/bbs/board2/add_img/2023/on-ra-in71695603972.png', 'http://m.seongdongdfsc.or.kr/img_up/shop_pds/seongdongdfs/bbs/board2/add_img/2023/on-ra-in81695603979.png', 'http://m.seongdongdfsc.or.kr/img_up/shop_pds/seongdongdfs/bbs/board2/add_img/2023/on-ra-in91695603986.png']"
4,성동장애인가족지원센터,"['서울시', '성동구']",,,[휴관안내] 2023년도 추석연휴 센터휴관 안내,2023-09-19,2023년도 추석연휴로 인한 센터 휴관 안내드립니다. 센터 이용에 참고 하시기바랍니다.,http://m.seongdongdfsc.or.kr/bbs_shop/read.htm?me_popup=&auto_frame=&cate_sub_idx=0&search_first_subject=&list_mode=board&board_code=board2&search_key=&key=&page=&idx=136281,http://m.seongdongdfsc.or.kr/bbs_shop/read.htm?me_popup=&auto_frame=&cate_sub_idx=0&search_first_subject=&list_mode=board&board_code=board2&search_key=&key=&page=&idx=136281,['http://m.seongdongdfsc.or.kr/img_up/shop_pds/seongdongdfs/bbs/board2/add_img/2023/je-mok-eul-ip-ryeok-hae-ju-se-yo_-01695113289.png']
5,성동장애인가족지원센터,"['서울시', '성동구']",,,[휴관안내] 서울장애인가족지원센터 좌담회 참석으로 인한 센터 휴관,2023-09-19,서울장애인가족지원센터 좌담회 참석으로 9/22(금) 11:00~18:00 센터 휴관하오니 이용에 참고하시기 바랍니다.,http://m.seongdongdfsc.or.kr/bbs_shop/read.htm?me_popup=&auto_frame=&cate_sub_idx=0&search_first_subject=&list_mode=board&board_code=board2&search_key=&key=&page=&idx=136271,http://m.seongdongdfsc.or.kr/bbs_shop/read.htm?me_popup=&auto_frame=&cate_sub_idx=0&search_first_subject=&list_mode=board&board_code=board2&search_key=&key=&page=&idx=136271,['http://m.seongdongdfsc.or.kr/img_up/shop_pds/seongdongdfs/bbs/board2/add_img/2023/je-mok-eul-ip-ryeok-hae-ju-se-yo_-01695113195.png']
6,성동장애인가족지원센터,"['서울시', '성동구']",,,성동문화재단 클래식 공연 무료초청 안내,2023-09-19,"세부일정
일자
주제
출연진
9. 21. (목)
19:30
쇼팽의 밤
피아니스트 송영민
10. 6. (금)
19:30
피아졸라의 밤
로워스트링콰르텟
(비올라 이신규, 노원빈 / 첼로 이경준 / 베이스 조용우)
10. 13. (금)
19:30
슈만의 밤
첼로 조윤경(첼로댁)
피아니스트 송영민
10. 20. (금)
19:30
오페라 아리아의 밤
바리톤 김진추, 테너 정윤호
소프라노 홍주영
피아니스트 송영민
<성동문화재단 클래식 공연 무료초청 안내>
  공연명 : 톡톡 클래식 위대한 작곡가 Ⅳ ‘우리가 사랑한 클래식’
일 시 : 2023.9.21.(목), 10.6.(금), 10.13.(금), 10.20(금) / 19:30
장 소 : 소월아트홀
대 상 : 장애인 가족 매 회 20명
비 용 : 무료(티켓당 2만원 상당)
신 청 : 구글폼 신청서 제출 https://forms.gle/T2XwJUe2WePkY2np7
관람당일 티켓 현장 수령 후 입장
  문의 070-5030-4404
참고링크 : 진행중인 공연 < 공연 < 성동문화재단 (sdfac.or.kr)",http://m.seongdongdfsc.or.kr/bbs_shop/read.htm?me_popup=&auto_frame=&cate_sub_idx=0&search_first_subject=&list_mode=board&board_code=board2&search_key=&key=&page=&idx=136261,http://m.seongdongdfsc.or.kr/bbs_shop/read.htm?me_popup=&auto_frame=&cate_sub_idx=0&search_first_subject=&list_mode=board&board_code=board2&search_key=&key=&page=&idx=136261,['http://m.seongdongdfsc.or.kr/img_up/shop_pds/seongdongdfs/bbs/board2/add_img/2023/kakaotalk_20230919_143835410_011695105639.jpg']
7,성동장애인가족지원센터,"['서울시', '성동구']",,,"[홍보] 서울장애인부모연대 ""2023년 서울시발달장애인가족휴식지원사업 테마여행"" 안내",2023-09-14,"서울장애인부모연대에서 ""2023년 서울시발달장애인가족휴식지원사업 테마여행""을 진행합니다.
가. 모집대상 : 서울시 거주 발달장애인가족, 회차당 30명 내외
나. 일정 : 2023년 10월 6~8일(1차), 13~15일(2차), 27~29일(3차)
다. 장소 : 강원도 '평창 퀸스가든'
라. 제공내용 : 펜션숙박, 일정 내 식사, 감성목공체험, 평창관광
마. 신청기간 : 2023년 9월 13일(수)~18일(월) 17시까지
바. 신청방법 : 신청링크에 회차 선택, 가족사항 및 연락처 입력(선정자 추후 신청서류 및 증빙서류 제출)
2023년 발달장애인가족 휴식지원사업  테마여행 참여 링크 : https://forms.gle/T3Gtk5iP1PsdQhLz8 
사. 선정발표 : 2023년 9월 25일 발표예정(선정자 개별 문자 송부 및 홈페이지 공개, 미선정자 별도 통보없음)
  자세한 내용 아래 링크 참고
 https://www.sebumo.or.kr/bbs/board.php?bo_table=B18&wr_id=87
문의 서울장애인부모연대 휴식지원사업 담당자 02-6956-4342 / 010-4598-4417",http://m.seongdongdfsc.or.kr/bbs_shop/read.htm?me_popup=&auto_frame=&cate_sub_idx=0&search_first_subject=&list_mode=board&board_code=board2&search_key=&key=&page=&idx=135821,http://m.seongdongdfsc.or.kr/bbs_shop/read.htm?me_popup=&auto_frame=&cate_sub_idx=0&search_first_subject=&list_mode=board&board_code=board2&search_key=&key=&page=&idx=135821,"['http://m.seongdongdfsc.or.kr/img_up/shop_pds/seongdongdfs/bbs/board2/add_img/2023/seo-jang-bu2023-206_-im.2023-nyeon-1694655738.jpg', 'http://m.seongdongdfsc.or.kr/img_up/shop_pds/seongdongdfs/bbs/board2/add_img/2023/seo-jang-bu2023-206_-im.2023-nyeon-1694655748.jpg']"
8,성동장애인가족지원센터,"['서울시', '성동구']",,,[홍보] 성동장애인종합복지관 30주년 맞이 한마음축제 행사 안내,2023-09-12,"성동복지관 개관 30주년을 맞이하여 지역주민과 함께하는 지역행사 ""한마음축제""를 개최합니다.
1. 행사명: 함께 만든 30년, 함께 여는 미래 “2023년 한마음축제”
2. 일 시: 2023. 9. 21.(목) 10시~17시
3. 참가대상 : 지역주민 누구나 
4. 장 소: 성동복지관(서울시 성동구 청계천로 506)
5. 내 용: 부스 운영, 공연, 성동장애인모델·동덕여대시니어모델 연합 패션쇼 등 진행
  # 함께 만들다 (30주년 행사)
- 퍼즐맞추기, 30포즈 사진 촬영 및 손도장 찍기 30주년 문구 완성 등
# 함께 만나다 (부스 및 바자회 행사)
- 환경 및 만들기 체험, 먹거리/의류/신발/모자/건어물 등 판매
# 함께 즐기다 (공연 및 다양한 볼거리)
- 노래, 무용, 악기연주, 댄스, 패션쇼 등 공연 및 이벤트 행사 진행
 텀블러 및 에코백을 가져오시면 아이스크림을 무료로 드립니다.
  □ 주 최: 성동복지관(성동장애인종합복지관, 성동종합사회복지관)
□ 문 의: 성동복지관 이창희 / 윤병연 (02-2290-3112/02-2290-3189)",http://m.seongdongdfsc.or.kr/bbs_shop/read.htm?me_popup=&auto_frame=&cate_sub_idx=0&search_first_subject=&list_mode=board&board_code=board2&search_key=&key=&page=&idx=135561,http://m.seongdongdfsc.or.kr/bbs_shop/read.htm?me_popup=&auto_frame=&cate_sub_idx=0&search_first_subject=&list_mode=board&board_code=board2&search_key=&key=&page=&idx=135561,['http://m.seongdongdfsc.or.kr/img_up/shop_pds/seongdongdfs/bbs/board2/add_img/2023/cf8efa060b956fcc75e7522d49c326ac_161694654904.jpg']
9,성동장애인가족지원센터,"['서울시', '성동구']",,,[홍보] 성동장애인종합복지관 사람중심생각(PCT)으로 내자녀 양육하기 교육안내,2023-09-01,"성동장애인종합복지관 사람중심실천위원회에서 장애인 당사자의 지역사회 의미있는 삶을 지원하기 위하여 
부모님들을 대상으로 사람중심생각(PCT)을 진행하오니 많은 관심과 적극적인 참여 부탁드립니다. 
  - 일 시 : 23. 09. 12. (화) 10:30-12:30
- 장 소 : 성동장애인종합복지관 6층 강당
- 내 용 : 사람중심생각(PCT)에 대한 기본이해 및 자녀양육에 적용해 보기 
- 강 사 : (사) 아우름강동장애인부모회 임규완(PCT트레이너 SDA KOREA 소속)  
문의 02-2290-3138",http://m.seongdongdfsc.or.kr/bbs_shop/read.htm?me_popup=&auto_frame=&cate_sub_idx=0&search_first_subject=&list_mode=board&board_code=board2&search_key=&key=&page=&idx=134781,http://m.seongdongdfsc.or.kr/bbs_shop/read.htm?me_popup=&auto_frame=&cate_sub_idx=0&search_first_subject=&list_mode=board&board_code=board2&search_key=&key=&page=&idx=134781,['http://m.seongdongdfsc.or.kr/img_up/shop_pds/seongdongdfs/bbs/board2/add_img/2023/3698720737_1k3j7xny_79f3853f974fac91693546344.jpg']
