,site,region,category,disability_type,title,date,summary,original_link,content_link,image,post_date
0,강북장애인종합복지관,['전체'],교육,발달,융합활동 [우리 아이 사회성 기르기] 아동 추가모집,2023-08-24,"

친구를 사귀기 위해 준비가 필요합니다. 소규모 또래관계에서 사회성과 발달을 집중 촉진할 수 있는 활동을 제공하는 강북장애인종합복지관 맞춤지원팀에 문의할 수 있습니다. 온라인 네이버 폼 신청을 통해 상담문의하실 수 있습니다.",http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5542&page=1,http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5542&page=1,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/gangbuk_disabled_welfare_center_0_2023-08-31_02-36.jpg'],2023-08-30 17:36:49.924204
1,강북장애인종합복지관,['전체'],돌봄 서비스,전체,[강북협치] 소모임 활동 참여자 모집,2023-08-18,"

8월 18일부터 23일까지 네이버폼에서 장애&비장애 주민 6명을 모집하고 있으며, 월~금 각각 다른 활동을 함께 즐길 수 있습니다. 각 활동 장소는 둠칫둠칫 스포츠댄스(도봉로 377), 스트라이크 볼링활동(우이볼링장 삼양로 424), 오감자극 꽃차만들기(꽃차당 솔샘로 167), 함께 키워요 원예활동(꽃닮 한천로 1174), 정성가득 서예활동(강북장애인종합복지관 오현로 189)입니다.",http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5539&page=1,http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5539&page=1,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/gangbuk_disabled_welfare_center_1_2023-08-31_02-36.jpg'],2023-08-30 17:36:49.924204
2,강북장애인종합복지관,['전체'],교육,전체,"[강북협치] 영화 ""달짝지근해"" 무료관람 참여자 모집",2023-08-16,"

8월 19일 (토) 16시 롯데시네마 수유에서 달짝지근해 영화 무료 관람이 진행됩니다. 많은 참여 바랍니다. 문의는 02-989-4215 강북협치 턱없는 마을 만들기 간사 조범준에게 연락해주세요. 신청 링크는 https://naver.me/5fPOHgpI 입니다.",http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5537&page=1,http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5537&page=1,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/gangbuk_disabled_welfare_center_2_2023-08-31_02-36.jpg'],2023-08-30 17:36:49.924204
3,강북장애인종합복지관,['전체'],교육,전체,2023년 2학기(학기 중) 사회복지현장 실습생 모집,2023-07-14,"

2023년 2학기 사회복지현장 실습생 모집 기간은 7.24~8.4, 모집대상은 사회복지관련학과 재학생, 모집인원은 5명, 실습기간은 9.5~12.12, 모집방법은 신청서 메일발송, 실습비용은 10만원.",http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5512&page=1,http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5512&page=1,,2023-08-30 17:36:49.924204
4,강북장애인종합복지관,['전체'],보조기기,발달,2023년 삼복맞이 대중공양,2023-07-13,"

2023년 7월 21일(금) 11:10~13:10에 본관 3층 식당, 본관 1층 집단활동실에서 녹두삼계탕, 아식이고추된장무침, 수박, 깍두기 등을 제공하는 삼복맞이 삼계탕 대중공양을 진행합니다. 본관 이용 장애인 및 보호자 총 200명이 참여할 수 있으며, 보호자는 식사 지원이 필요한 이용자입니다. 7월 13일(목)부터 본관 1층 안내데스크에서 복지카드 지참하여 접수할 수 있습니다. 문의는 자립기획팀 유경민 02-989-4215으로 해주시기 바랍니다.",http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5509&page=1,http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5509&page=1,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/gangbuk_disabled_welfare_center_4_2023-08-31_02-36.jpg'],2023-08-30 17:36:49.924204
5,강북장애인종합복지관,['서울시'],돌봄 서비스,발달,2023 강북협치 턱없는 마을만들기 '동행하기 문화프로그램' 모집,2023-07-07,"

7월 강북협치 '턱없는 마을 만들기'에서 뮤지컬 '써니텐' 동행 프로그램 진행. 10세 이상 관람 가능, 장애 아동 및 청소년 모집 중. 7.22(토) 13시 30분까지 대학로 하마씨어터로 데려다 주세요. 선착순 신청!",http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5500&page=1,http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5500&page=1,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/gangbuk_disabled_welfare_center_5_2023-08-31_02-36.jpg'],2023-08-30 17:36:49.924204
6,강북장애인종합복지관,['강북구'],보조기기,발달,2023년 7월 이미용 서비스 이용자 모집,2023-07-06,"

7월 12일(수) 16:00~18:00, 본관 지하 1층 탈의실에서 강북구 및 인근 구 거주 장애인(복지카드 소지자) 선착순 10명을 모집합니다. 신청기간은 7월 6일(수) ~ 11일(화) 09:00~18:00, 신청접수는 유경민 사회복지사(02-989-4215) 전화 및 방문 접수로 합니다.",http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5499&page=1,http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5499&page=1,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/gangbuk_disabled_welfare_center_6_2023-08-31_02-36.jpg'],2023-08-30 17:36:49.924204
7,강북장애인종합복지관,['전체'],교육,발달,[놀이로 성장하는 여름방학] 참여자 모집,2023-07-05,"

여름방학 중 또래관계, 사회성을 기르기 위한 그룹 놀이치료 참여를 희망하는 아동 모집! 강북장애인종합복지관 맞춤지원팀 박미경 사회복지사, 최지원 심리치료사에게 연락하거나 신청하기: https://naver.me/5QGlQII2",http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5497&page=1,http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5497&page=1,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/gangbuk_disabled_welfare_center_7_2023-08-31_02-36.jpg'],2023-08-30 17:36:49.924204
8,강북장애인종합복지관,['전체'],교육,전체,'시민옹호인' 모집,2023-06-22,"

강북장애인종합복지관 지역옹호팀에서 시민옹호인 모집을 상시모집합니다. 장애주민 3명, 비장애주민 7명을 모집하며 장애주민과 비장애주민이 함께 활동하고 관계를 형성하는 활동을 지원합니다. 신청방법은 온라인 QR코드, 방문접수로 궁금한 사항이 있으면 언제든지 연락주세요.",http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5478&page=1,http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5478&page=1,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/gangbuk_disabled_welfare_center_8_2023-08-31_02-36.jpg'],2023-08-30 17:36:49.924204
9,강북장애인종합복지관,['전체'],보조기기,전체,'공'감하기 소모임 활동 7월 참여자 모집,2023-06-22,"

6월 26일~30일 네이버 폼 작성 신청, 네이버 밴드 문의. 7월 3일~28일 매주 1회 총 4회 공감하기 소모임 활동. 02-989-4215 강북협치 간사 조범준 문의.",http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5476&page=1,http://www.gangbukrc.or.kr/menu/?menu_str=3010&wr_id=5476&page=1,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/gangbuk_disabled_welfare_center_9_2023-08-31_02-36.jpg'],2023-08-30 17:36:49.924204
