,site,region,category,disability_type,title,date,summary,original_link,content_link,image,post_date
0,하상장애인복지관,['강남구'],교육,전체,2023년 장애공감(인식개선) 교육안내,2023-06-23 09:32:00,"

2023년 학기 중 강남구 내 유치원· 초·중·고 학생들을 대상으로 일상생활에서 경험하는 점자 & 점자 표기 교육, 과자/음료/젤리에 직접 점자 라벨 부착 체험 교육을 실시합니다. 모집기간은 11/30까지, 문의 및 신청은 권익옹호팀 백건현(02-560-4233) 또는 복지관 이메일 주소로 합니다.",http://www.hasang.org/recruitment_act/4412,http://www.hasang.org/recruitment_act/4412,"['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/hasang_0_2023-08-31_03-03.jpg', 'https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/hasang_0_2023-08-31_03-03.jpg', 'https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/hasang_0_2023-08-31_03-03.jpg', 'https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/hasang_0_2023-08-31_03-03.jpg']",2023-08-30 18:03:27.786763
1,하상장애인복지관,['전체'],교육,전체,사례관리 참여자 모집,2023-06-21 15:08:00,"

권익옹호팀은 상담이 필요한 경우, 경제, 정신 및 신체 건강, 정서 지원 등 도움이 필요한 경우, 주변에 도움이 필요하다고 생각되는 분들이 있는 경우 등 상시 모집하고 있습니다. 문의는 이해인 사회복지사(02-560-4234) 또는 윤나라 사회복지사(02-560-4232)로 연락하시기 바랍니다.",http://www.hasang.org/recruitment_act/4409,http://www.hasang.org/recruitment_act/4409,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/hasang_1_2023-08-31_03-03.jpg'],2023-08-30 18:03:27.786763
2,하상장애인복지관,['전체'],교육,발달,"말이 늦은 아이 부모의 언어코칭 ""말과 마음을 티키타카"" 프로그램 참여자 모집",2023-06-13 11:03:00,"

자립지원팀 언어치료사 전미현과의 1:1 개별 맞춤형 언어발달 코칭 프로그램에 또래에 비해 말이 늦은 아이 부모를 대상으로 연중 QR 접속하여 신청서 제출하면 됩니다. 560-4240으로 문의하시면 됩니다.",http://www.hasang.org/recruitment_act/4406,http://www.hasang.org/recruitment_act/4406,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/hasang_2_2023-08-31_03-03.jpg'],2023-08-30 18:03:27.786763
3,하상장애인복지관,['전체'],교육,발달,지역사회 발달지원 컨설팅 참여자 모집,2023-05-16 09:40:00,"
하상장애인복지관에서는 강남구 내 어린이집, 유치원, 초등학교에 재학 중인 유아동의 발달 지원을 위해 1:1 맞춤형 대면 컨설팅 프로그램 모집 중입니다. 신청 기간은 연중, 모집 대상은 강남구 내 어린이집, 유치원, 초등학교 재학 중인 유아동, 신청 방법은 QR 접속하여 신청서 제출, 컨설팅 내용은 발달 평가 및 개별 맞춤형 컨설팅을 통한 지역사회 내 적응 지원, 문의는 560-4240 자립지원팀 언어치료사 전미현으로 합니다.",http://www.hasang.org/recruitment_act/4401,http://www.hasang.org/recruitment_act/4401,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/hasang_3_2023-08-31_03-03.jpg'],2023-08-30 18:03:27.786763
4,하상장애인복지관,['전체'],교육,발달,직업능력개발지원팀 직업적응훈련생 모집,2023-08-23 10:29:00,"

19세~39세 성인 발달장애인을 대상으로 취업 욕구가 있는 자를 모집하고 있으며, 독립적인 신변처리 및 출퇴근 가능한 자를 우선으로 모집하고 있습니다. 이용시간은 매주 월요일~금요일, 9:30~16:30, 이용료는 월 70,000원 식대, 훈련수당은 최대 월 100,000원, 훈련내용은 개인 및 사회생활훈련, 작업준비 및 직업수행훈련, 직무능력향상훈련 등으로 상시 모집하고 있습니다.",http://www.hasang.org/recruitment_act/4424,http://www.hasang.org/recruitment_act/4424,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/hasang_4_2023-08-31_03-03.jpg'],2023-08-30 18:03:27.786763
5,하상장애인복지관,['전체'],교육,발달,청소년 자립준비 프로그램 '우리두리'교실 프로그램 참여자 추가모집,2023-08-22 16:56:00,"

하상장애인복지관 전환기지원팀에서는 장애청소년(만 13세~24세)을 대상으로 청소년 자립준비 프로그램 '우리두리'교실을 매주 월, 수, 금 오후 4시~5시30분에 진행하며, 일상생활기술, 사회적응력기술, 여가활동 프로그램을 통한 자립능력 강화를 목적으로 합니다. 모집인원은 2명 추가모집(대기가능)이며, 월 72,000원(1회 약6,000원)의 수업료가 부과됩니다. 모집기간은 2023년 2월 13일부터 모집완료 시 마감이며, 신청 및 문의는 전환기지원팀 안소연 사회복지사 02-560-4213으로 하실 수 있습니다. 본 프로그램은 선착순 모집이 아닌 대상자 상담 후 회의를 통해 선정됩니다.",http://www.hasang.org/recruitment_act/4423,http://www.hasang.org/recruitment_act/4423,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/hasang_5_2023-08-31_03-03.jpg'],2023-08-30 18:03:27.786763
6,하상장애인복지관,['전체'],교육,전체,신나는 예술여행2 - 호크마댄스씨어터 문화예술공연,2023-08-18 15:48:00,"

'공주를 찾습니다' 호크마댄스씨어터 문화예술공연이 하상장애인복지관 지하강당에서 8월 29일 오전 10시에 열립니다. 지역주민 누구나 무료로 관람할 수 있습니다. 문의는 자립지원팀 이미정 (02-560-4242)으로 해주시기 바랍니다.",http://www.hasang.org/recruitment_act/4422,http://www.hasang.org/recruitment_act/4422,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/hasang_6_2023-08-31_03-03.jpg'],2023-08-30 18:03:27.786763
7,하상장애인복지관,['전체'],교육,전체,영어점자교육반 교육생 모집,2023-08-01 13:29:00,"

하상장애인복지관 성인평생학습팀에서는 '통일영어점자'를 배우고자 하는 교육생 5명을 모집합니다. 교육기간은 8월 17일~10월 26일, 시간은 19:00~21:00, 교육방법은 온라인 수업, 교재는 통일영어점자 해설서, 교육비는 20,000원, 신청기간은 8월 1일~10일, 접수방법은 전화 02-560-4293입니다.",http://www.hasang.org/recruitment_act/4421,http://www.hasang.org/recruitment_act/4421,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/hasang_7_2023-08-31_03-03.jpg'],2023-08-30 18:03:27.786763
8,하상장애인복지관,['전체'],교육,전체,2024년 22회 대비 사회복지사 1급 수험서 보급 안내,2023-08-01 13:12:00,"

2024년 사회복지사 1급 수험서는 나눔북에서 출판한 전자도서로 보급됩니다. 신청은 ~12월 29일(금)까지 넓은마을 복지관 이메일 주소 또는 복지관 이메일 주소로 메일 제목에 “사회복지 수험서 신청”이라고 기입하여 신청하면 됩니다. 보급되는 자료는 기본이론서, 핵심요약집, 기출문제로 나누어집니다. 문의사항은 02-560-4293으로 문의하시기 바랍니다.",http://www.hasang.org/recruitment_act/4419,http://www.hasang.org/recruitment_act/4419,,2023-08-30 18:03:27.786763
9,하상장애인복지관,['전체'],돌봄 서비스,발달,2023 중장년 발달장애인 낮활동 프로그램 [하상동락 3050] 이용자 모집,2023-08-01 11:18:00,"

35세~55세 발달장애인 모집하는 2023 중장년 발달장애인 낮활동 프로그램 [하상동락 3050] 이용일시는 주 4일(월,화,목,금) 10:00-15:00, 이용료는 월 100,000원(식비별도), 신청방법은 전화문의 ▶ 방문상담/초기면접 ▶ 서류작성 및 제출 ▶ 1차 선정회의 ▶ 이용신청완료, 제출서류는 프로그램 신청서, 개인정보동의서, 장애인복지카드 사본 1부, 신청기간은 8.1. ~ 모집 완료시, 문의는 자립지원팀 이미정 (02-560-4242).",http://www.hasang.org/recruitment_act/4418,http://www.hasang.org/recruitment_act/4418,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/hasang_9_2023-08-31_03-03.jpg'],2023-08-30 18:03:27.786763
