,site,region,category,disability_type,title,date,summary,original_link,content_link,image,post_date
0,서울특별시중구장애인복지관,['서울시'],보조기기,전체,신당역 3번 출구 앞 서울특별시중구장애인복지관 안내표지판 설치,2023-08-28,"

서울특별시 중구장애인복지관이 신당역 3번 출구 앞 도로표지판에 '서울중구장애인복지관' 안내 표지판을 설치하여 이용고객 및 주민들의 불편함을 최소화하고 있습니다. 감사합니다.",https://www.jgcrc.or.kr/notice/1124,https://www.jgcrc.or.kr/notice/1124,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/jgcrc_0_2023-08-31_16-26.jpg'],2023-08-31 07:26:36.532956
1,서울특별시중구장애인복지관,['전체'],교육,전체,[모집중] 왕초보 기초 디지털 금융 교육 참여자 모집,2023-08-21,"

9월 1일 금요일 오후 1시 30분 4층 세미나실에서 기초 디지털 금융교육을 진행합니다. 스마트폰!! 모바일뱅킹과 atm기 사용법, 금융사기와 금융착취 예방법까지 꼭 필요한 금융교육을 준비했습니다. 복지관 이용고객 및 직원 누구나 참여가능하도록 오픈클래스로 진행합니다. 신청 및 문의사항은 02-2235-8426 김해성 사회복지사에게 전화해주세요.",https://www.jgcrc.or.kr/notice/1123,https://www.jgcrc.or.kr/notice/1123,[None],2023-08-31 07:26:36.532956
2,서울특별시중구장애인복지관,['전체'],교육,전체,[채용] 정규직 직원 채용 재공고,2023-08-16,"

복지관에서 정규직 직원 채용을 공고합니다. 많은 관심과 지원 바랍니다. 감사합니다.",https://www.jgcrc.or.kr/notice/1122,https://www.jgcrc.or.kr/notice/1122,,2023-08-31 07:26:36.532956
3,서울특별시중구장애인복지관,['전체'],교육,전체,[채용]2023년 방가대학 예술-업싸이클링 강사 모집,2023-08-29,"

2023년 방가대학 예술분야 업싸이클링 강좌 진행을 위해 강사 모집합니다. 많은 관심과 참여 부탁드립니다. 문의: 지역활동1팀 정미현 사회복지사 02)2235-8626.",https://www.jgcrc.or.kr/notice/1125,https://www.jgcrc.or.kr/notice/1125,,2023-08-31 07:26:36.532956
4,서울특별시중구장애인복지관,['전체'],교육,전체,[서류전형결과발표] 정규직 직원 채용(작성일 2023-07-27 관련),2023-08-16,"

2023년 7월 27일, 우리 복지관 정규직 직원 채용 서류 전형 결과는 적격자 없음으로 발표되었습니다.",https://www.jgcrc.or.kr/notice/1121,https://www.jgcrc.or.kr/notice/1121,,2023-08-31 07:26:36.532956
5,서울특별시중구장애인복지관,['청구동'],교육,전체,[모집마감] 청구동 기념일 8월 스콘 만들기 원데이 클래스,2023-08-14,"

8월엔 청구동과 인근 지역 주민 12명이 모여 베이킹을 체험할 수 있습니다. 베이킹아지트에서 황학어린이 공원 인근 도보 2분, 2층에 있습니다. 8월 22일(화) 오후 2시~5시에 전화 신청, 선착순 마감으로 참여할 수 있습니다. 문의는 02.2235.8426 김해성사회복지사로 해주세요.",https://www.jgcrc.or.kr/notice/1120,https://www.jgcrc.or.kr/notice/1120,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/jgcrc_5_2023-08-31_16-26.jpg'],2023-08-31 07:26:36.532956
6,서울특별시중구장애인복지관,['전체'],교육,발달,"[모집완료] 2023년 2차 베이킹 클래스 프로그램 「빵가, 빵가!」 참여자 모집",2023-08-14,"

2023년 2차 베이킹 클래스 프로그램 「빵가, 빵가!」 모집합니다. 발달장애 아동·청소년과 부모 1인 함께 참여. 8. 14~25까지 온라인 선착순 접수. 30,000원 교육료. 온라인 신청. 문의 02-2235-8429.",https://www.jgcrc.or.kr/notice/1119,https://www.jgcrc.or.kr/notice/1119,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/jgcrc_6_2023-08-31_16-26.jpg'],2023-08-31 07:26:36.532956
7,서울특별시중구장애인복지관,['전체'],교육,전체,[모집완료] 2023년 장애아동 양육코칭교육 프로그램 강사 모집,2023-08-11,"

2023년 장애아동 양육코칭교육 프로그램 강사를 채용합니다. 문화예술활동팀 이재홍 사회복지사 (02-2235-8429)에 문의하시기 바랍니다.",https://www.jgcrc.or.kr/notice/1118,https://www.jgcrc.or.kr/notice/1118,,2023-08-31 07:26:36.532956
8,서울특별시중구장애인복지관,['전체'],교육,전체,[모집완료] 2023년 장애아동 양육코칭교육 프로그램 참여자 모집,2023-08-11,"

2023년 8월 11일(금)부터 8월 18일(금)까지 장애아동 양육코칭교육 프로그램을 모집합니다. 모집대상은 장애아동을 양육하는 보호자 10명입니다. 교육기간은 8월 22일(화)부터 11월 14일(화)까지 총 12회기로 진행되며, 교육료는 무료입니다. 신청은 온라인 선착순 접수로 이루어집니다.",https://www.jgcrc.or.kr/notice/1117,https://www.jgcrc.or.kr/notice/1117,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/jgcrc_8_2023-08-31_16-26.jpg'],2023-08-31 07:26:36.532956
9,서울특별시중구장애인복지관,['서울시'],보조기기,전체,광복절 휴관 안내,2023-08-07,"

8월 15일(화) 광복절로 서울특별시 중구 장애인복지관 휴관, 이용고객 및 주민 양해 부탁.",https://www.jgcrc.or.kr/notice/1115,https://www.jgcrc.or.kr/notice/1115,,2023-08-31 07:26:36.532956
