,site,region,category,disability_type,title,date,summary,original_link,content_link,image,post_date
0,마포장애인가족지원센터,['전체'],교육,발달,[한우리정보문화센터] 온라인 부모교육(변화하는 복지정책 장애인 개인예산제바로알기),2023-08-29,"

사용자가 입력한 문자열을 거꾸로 뒤집어 출력하는 스크립트입니다. 문자열을 배열로 변환하고 배열의 역순으로 출력합니다. 마지막으로 배열을 문자열로 다시 변환하여 출력합니다. 출력값: olleH dlroW.",http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16173293&t=board,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16173293&t=board,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/mapo_family_support_center_0_2023-08-31_12-44.jpg'],2023-08-31 03:44:31.784304
1,마포장애인가족지원센터,['전체'],교육,전체,[서울시서북보조기기센터] 서울시 장애인 의류리폼사업,2023-08-24,"

위 스크립트는 변수의 값을 변경하고 조건문과 반복문을 사용해 입력된 숫자가 소수인지 아닌지 판별한다.",http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16122300&t=board,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16122300&t=board,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/mapo_family_support_center_1_2023-08-31_12-44.jpg'],2023-08-31 03:44:31.784304
2,마포장애인가족지원센터,['전체'],교육,발달,[마포구정신건강복지센터] 자살예방의날기념행사(생명존중토크매직쇼),2023-08-18,"

배열을 만들고 배열에 원하는 값을 넣어 새로운 배열을 만들고, 이 배열을 사용해 다른 배열에 더하고, 이 배열을 사용해 다른 배열에서 빼고, 이 배열을 사용해 다른 배열의 값을 곱한다.",http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16074473&t=board,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16074473&t=board,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/mapo_family_support_center_2_2023-08-31_12-44.jpg'],2023-08-31 03:44:31.784304
3,마포장애인가족지원센터,['전체'],교육,전체,[마포발달장애인 문화창작소] 연극<pIAy factory 놀이 다 노닐다>참여자모집,2023-08-18,"

태양계는 8개의 행성과 달, 소행성 등으로 구성되어 있으며, 그 중 가장 큰 행성은 금성이며, 가장 작은 행성은 수성이다. 또한 각 행성은 고유의 특징을 가지고 있으며, 금성은 강력한 화산 활동을 가지고 있고, 수성은 달과 가까운 거리에 있어 달의 영향을 받는다.

위 스크립트는 태양계가 8개의 행성과 달, 소행성로 구성되어 있으며, 가장 큰 행성은 금성이고 가장 작은 행성은 수성이며, 각 행성은 고유의 특징을 가지고 있다.",http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16071463&t=board,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16071463&t=board,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/mapo_family_support_center_3_2023-08-31_12-44.jpg'],2023-08-31 03:44:31.784304
4,마포장애인가족지원센터,['전체'],교육,전체,[라이브러리피치] 라피치 살롱 프로그램 참여 모집,2023-08-17,"

사용자가 입력한 숫자가 짝수이면 ""Even"", 홀수이면 ""Odd""를 출력하는 스크립트입니다. ""Even"", ""Odd""",http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16065951&t=board,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16065951&t=board,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/mapo_family_support_center_4_2023-08-31_12-44.jpg'],2023-08-31 03:44:31.784304
5,마포장애인가족지원센터,['전체'],교육,전체,[전국장애인부모연대] 제7회 대한민국 인식 개선 콘텐츠 공모전,2023-08-16,"

사용자는 이메일 주소를 입력하여 가입할 수 있고, 이메일 주소가 이미 사용중인지 확인할 수 있으며, 이메일 주소는 정규식을 통해 검증할 수 있다.

사용자는 이메일 주소를 입력하여 가입하고 이메일 주소가 사용중인지 확인하고 정규식을 통해 검증할 수 있다.",http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16049847&t=board,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16049847&t=board,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/mapo_family_support_center_5_2023-08-31_12-44.jpg'],2023-08-31 03:44:31.784304
6,마포장애인가족지원센터,['전체'],교육,전체,[국립정신건강센터] 2023년 발달장애인 부모교육 워크숍 참여,2023-08-16,"

배열 변수 arr을 선언하고 값을 넣어 배열을 생성하였습니다. 배열의 길이는 4이며, 각 요소는 문자열이며, 각 요소는 ""사과"", ""배"", ""오렌지"", ""포도""입니다.",http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16049825&t=board,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16049825&t=board,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/mapo_family_support_center_6_2023-08-31_12-44.jpg'],2023-08-31 03:44:31.784304
7,마포장애인가족지원센터,['전체'],교육,발달,[전국장애인부모연대] 2023합창 <노래 같이불러요> 참여자모집,2023-08-01,"

사용자가 입력한 숫자가 3의 배수이면 ""3의 배수입니다"" 출력, 아니면 ""3의 배수가 아닙니다"" 출력.",http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=15921265&t=board,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=15921265&t=board,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/mapo_family_support_center_7_2023-08-31_12-44.jpg'],2023-08-31 03:44:31.784304
8,마포장애인가족지원센터,['전체'],교육,전체,[(주)우리행성]제1회성민복지관.(주)우리행성 발달장애인 그림공모전,2023-07-24,"

사용자는 입력한 숫자가 소수인지 아닌지 판별할 수 있게 되었습니다. 소수인 경우 ""소수입니다""라고 출력하고, 소수가 아닌 경우 ""소수가 아닙니다""라고 출력합니다.",http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=15822490&t=board,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=15822490&t=board,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/mapo_family_support_center_8_2023-08-31_12-44.jpg'],2023-08-31 03:44:31.784304
9,마포장애인가족지원센터,['전체'],교육,전체,[마포복지재단] 장애인행복동행하우스 이용인 모집,2023-07-18,"

사용자가 입력한 숫자가 짝수이면 ""짝수입니다"", 홀수이면 ""홀수입니다"".",http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=15746948&t=board,http://mp.dfsc.or.kr/41/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=15746948&t=board,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/mapo_family_support_center_9_2023-08-31_12-44.jpg'],2023-08-31 03:44:31.784304
