,site,region,category,disability_type,title,date,summary,original_link,content_link,image,post_date
0,노들장애인자립센터,['전체'],교육,발달,노들센터 2023 집단자립지원프로그램 참여자 모집,2023-08-21 15:01:00,"

노들센터에서는 발달장애당사자를 대상으로 활동지원서비스 이용 교육을 진행합니다. 교육 내용은 활동지원서비스를 어떻게 이용하고 있는지, 욕구를 파악하고 활동지원사와 평등한 관계를 맺는 것을 목표로 합니다. 웹자보 텍스트는 누구랑, 어디서, 언제, 질문 및 신청 등의 정보를 담고 있습니다.",http://ncil.or.kr/events_news/12279,http://ncil.or.kr/events_news/12279,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nodeul_0_2023-08-31_02-34.jpg'],2023-08-30 17:34:32.119736
1,노들장애인자립센터,['서울시'],교육,발달,[홍보] 2023년 종로구 장애인 자립생활 지원 정책토론회,2023-08-17 13:08:00,"

2023년 9월 4일(월) 14시-16시 종로구 동숭길25 4층 대강당에서 노들장애인자립생활센터를 주관으로 서울특별시가 지원하는 종로구 장애인 자립생활 지원 정책토론회가 열립니다. 미소(장애와인권발바닥)가 발제하고 김장기(당사자), 오규상(조력자)이 사례를 발표하며, 이형숙(노들장애인자립생활센터, 소장)이 좌장을 맡고 박미주(서울장애인차별철폐연대, 사무국장), 최영은(노들장애인자립생활센터 활동가), 김준우(송파솔루션장애인자립생활센터, 소장)이 토론합니다. 문의는 자립옹호팀 최유진(070-8852-1885)에게 연락하시기 바랍니다.",http://ncil.or.kr/events_news/12262,http://ncil.or.kr/events_news/12262,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nodeul_1_2023-08-31_02-34.jpg'],2023-08-30 17:34:32.119736
2,노들장애인자립센터,['전체'],교육,전체,노들장애인자립생활센터 장애인자립생활주택 운영 담당 활동가[육아휴직 대체인력] 모집 공고,2023-08-16 11:49:00,"

노들장애인자립생활센터는 중증장애인 자립생활 지원을 목적으로 프로그램 제공. 남성, 여성주택 담당자 각 1명 모집하고 있으며, 사회복지사, 전문대학 이상 학교 졸업자 및 관련 사업 3년 이상 경험 자격 우대. 주 5일 근무, 계약기간 2023년 10월 1일 ~ 2024년 9월 30일(남성주택 담당) 및 2023년 10월 1일 ~ 2024년 12월 31일(여성주택 담당). 1차 서류 합격 통보 9월 4일, 2차 면접 9월 5일, 최종 합격 발표 9월 6일.",http://ncil.or.kr/events_news/12257,http://ncil.or.kr/events_news/12257,,2023-08-30 17:34:32.119736
3,노들장애인자립센터,['전체'],교육,발달,[신청마감]2023년 제12회 종로노들보치아대회 참가 신청 안내,2023-08-07 14:07:00,"

8월 30일 종로구 올림픽기념관 국민생활관 2층에서 열리는 제12회 종로노들보치아대회 참가신청은 8/8(화) 10시 30분부터 이메일 선착순 접수합니다. 한 팀은 장애인 4명과 비장애인 1명, 스텝(코치, 경기 보조자), 활동지원사 포함 8명 이내로 구성하며, 단체전 토너먼트 방식으로 진행되며, 1위부터 3위까지 상품과 트로피를 수여합니다.",http://ncil.or.kr/events_news/12248,http://ncil.or.kr/events_news/12248,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nodeul_3_2023-08-31_02-34.jpg'],2023-08-30 17:34:32.119736
4,노들장애인자립센터,['전체'],교육,전체,<2023년 거주시설연계사업> 인강원 거주인 인권교육,2023-07-11 15:53:00,"

노들장애인자립생활센터는 거주시설 연계사업을 진행하며 매년 인권교육을 진행하고 있습니다. 7월 7,14,21,28일 매주 금요일 10~15시 마중물센터 우진아 센터장이 진행하는 거주인 인권교육을 진행하고 있습니다.",http://ncil.or.kr/events_news/12240,http://ncil.or.kr/events_news/12240,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nodeul_4_2023-08-31_02-34.jpg'],2023-08-30 17:34:32.119736
5,노들장애인자립센터,['종로구'],교육,전체,제8회 종로장애인인권영화제 활동소식,2023-07-06 18:00:00,"

6월 15일 대학로 이음센터에서 제8회 종로장애인인권영화제가 성황리에 진행되었습니다. 종로구를 거점으로 권익옹호활동을 펼쳐가는 중증장애당사자들의 삶과 일상을 공유하는 영화제를 기획하였습니다. 노들센터 권익옹호활동가 이수미님을 주인공으로 하는 기획작 제작/상영, 고 박종필 감독님 작품의 배리어프리 작업, 아랫마을 홈리스야학 합창교실의 폐막공연 등이 있었습니다. 많은 분들의 성원으로 제8회 종로장애인인권영화제가 성공적으로 마무리되었고, 다음 해에도 열릴 제9회 종로장애인인권영화제를 기대합니다.",http://ncil.or.kr/events_news/12229,http://ncil.or.kr/events_news/12229,"['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nodeul_5_2023-08-31_02-34.jpg', 'https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nodeul_5_2023-08-31_02-34.jpg', 'https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nodeul_5_2023-08-31_02-34.jpg', 'https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nodeul_5_2023-08-31_02-34.jpg', 'https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nodeul_5_2023-08-31_02-34.jpg', 'https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nodeul_5_2023-08-31_02-34.jpg', 'https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nodeul_5_2023-08-31_02-34.jpg', 'https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nodeul_5_2023-08-31_02-34.jpg', 'https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nodeul_5_2023-08-31_02-34.jpg']",2023-08-30 17:34:32.119736
6,노들장애인자립센터,['서울시'],교육,발달,2023년 동료상담가 보수교육 심화과정 안내,2023-07-03 16:26:00,"

2023년 8월 24일(목) 여의도 이룸센터 지하1층 이룸홀에서 노들장애인자립생활센터와 사)서울시장애인자립생활센터협의회 동료상담위원회가 함께 주최하는 동료상담가 보수교육 심화과정을 진행합니다. 주제는 다양한 장애유형 이해하기, 발달장애인 의사소통 방법, 그리고 사례발표로 발달장애인 동료상담을 준비했습니다. 사례발표자는 문석영(피플퍼스트서울센터 동료지원가)입니다. 서울시가 지원하며, 많은 신청 바랍니다.",http://ncil.or.kr/events_news/12224,http://ncil.or.kr/events_news/12224,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nodeul_6_2023-08-31_02-34.jpg'],2023-08-30 17:34:32.119736
7,노들장애인자립센터,['전체'],교육,발달,2023년 상반기 활동지원 이용자 보수교육 안내,2023-06-20 15:16:00,"

2023년 상반기 노들장애인자립생활센터에서는 6/23(금) 14:00-17:30에 대강당에서 공통 교육과 발달과 비발달장애에 따른 보이스피싱 및 개인정보보호, 이용자 중심의 활동지원서비스 교육을 진행합니다.",http://ncil.or.kr/events_news/12221,http://ncil.or.kr/events_news/12221,,2023-08-30 17:34:32.119736
8,노들장애인자립센터,['전체'],교육,발달,서울형 권리중심 중증장애인 맞춤형 공공일자리 사업 담당 활동가 모집 공고,2023-05-31 19:42:00,"

노들장애인자립생활센터는 중증장애인의 자립생활 지원을 목적으로 설립되었으며, 인권단체와 연대하여 장애인의 권리 확보를 위한 활동을 하고 있습니다. 서울형 권리중심 중증장애인 맞춤형 공공일자리 사업 담당자 1명을 모집하고 있으며, 장애인/비장애인 사회복지사 자격증 소지자를 대상으로 주 5일 근무, 계약기간 2023년 7월 1일~12월 31일, 급여 및 수당 내부규정에 따름을 제시하고 있습니다.",http://ncil.or.kr/events_news/12094,http://ncil.or.kr/events_news/12094,,2023-08-30 17:34:32.119736
9,노들장애인자립센터,['전체'],교육,발달,[2023년 거주시설연계사업] 인강원 종사자 인권교육,2023-05-31 14:21:00,"

노들장애인자립생활센터는 거주시설 연계사업을 진행하고 있으며, 6월 2일, 9일 오전 9시~11시에 장애여성공감 이진희 활동가가 종사자 인권교육을 진행합니다.",http://ncil.or.kr/events_news/12088,http://ncil.or.kr/events_news/12088,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nodeul_9_2023-08-31_02-34.jpg'],2023-08-30 17:34:32.119736
