,site,region,category,disability_type,title,date,summary,original_link,content_link,image,post_date
0,노원장애인자립생활센터어울림,['서울시'],교육,전체,8~9월 사회복지사 실습생 모집(2인),2023-08-18 17:35:00,"

노원장애인자립생활센터 어울림에서 예비 사회복지사를 모집합니다. 모집인원 2명, 실습기간 20일, 신청기간 8월 21일~25일, 실습비 10만원, 실습내용 오리엔테이션, 장애인 복지의 이해, 권익옹호 및 동료상담 등.",http://www.nowonilc.or.kr/bbs/board.php?bo_table=51&wr_id=2534,http://www.nowonilc.or.kr/bbs/board.php?bo_table=51&wr_id=2534,,2023-08-30 17:28:37.834848
1,노원장애인자립생활센터어울림,['전체'],교육,발달,제1회 어울림 시낭송회 '시愛 향연' 공연 개최,2023-08-17 12:21:00,"

2023년 8월 19일 노원역 7호선 라인 역사 내 지하철 무대공간에서 제1회 어울림 시낭송회 '시愛 향연' 공연이 열립니다. 나도 성우다 장애인 성우자조모임이 팟캐스터 활동, 목소리 재능기부, 라디오극 등의 비대면 공연과 대면 공연을 통해 소통하는 재미있고 생동감 있는 공연입니다. 무료 입장으로 지역사회 주민분들의 많은 관심과 사랑 부탁드립니다.",http://www.nowonilc.or.kr/bbs/board.php?bo_table=51&wr_id=2512,http://www.nowonilc.or.kr/bbs/board.php?bo_table=51&wr_id=2512,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nowon_eoullim_1_2023-08-31_02-28.jpg'],2023-08-30 17:28:37.834848
2,노원장애인자립생활센터어울림,['전체'],교육,발달,2023 발달장애인 인권강사 양성과정 참여자를 모집합니다~♡,2023-07-31 09:14:00,"

2023 발달장애인 인권강사 양성과정 프로그램 모집, 인권강사 활동에 관심있는 발달장애인 5명 모집, 7/28~8/3까지 홈페이지 또는 방문 신청, 신청서, 복지카드, 개인정보 제공동의서 제출, 문의 02-930-8212, 070-8822-3430.",http://www.nowonilc.or.kr/bbs/board.php?bo_table=51&wr_id=2326,http://www.nowonilc.or.kr/bbs/board.php?bo_table=51&wr_id=2326,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nowon_eoullim_2_2023-08-31_02-28.jpg'],2023-08-30 17:28:37.834848
3,노원장애인자립생활센터어울림,['전체'],교육,전체,장애인 교통복지카드 전국호환 신청 안내,2023-04-14 17:31:00,"

1. 장애인 교통복지카드 전국호환 가능하도록 관심 바랍니다.
2. 카드 사용 시 전국에서 호환되는 기능 제공.
3. 장애인들의 교통 편의를 위한 복지 제공.
4. 장애인 교통복지카드 사용에 대한 관심 바랍니다.
5. 장애인 교통복지카드 전국호환 기능 제공.",http://www.nowonilc.or.kr/bbs/board.php?bo_table=51&wr_id=1052,http://www.nowonilc.or.kr/bbs/board.php?bo_table=51&wr_id=1052,"['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nowon_eoullim_3_2023-08-31_02-28.jpg', 'https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nowon_eoullim_3_2023-08-31_02-28.jpg']",2023-08-30 17:28:37.834848
4,노원장애인자립생활센터어울림,['전체'],보조기기,전체,2023년 문화여가 프로그램 '당일치기'의 참여자를 모집합니다.<모집중>,2023-02-21 18:29:00,"

2023년 4월~10월 사이에 장애인 및 가족(지인)이 지가주도적인 자립생활을 위한 여행프로그램 '당일치기'에 신청할 수 있으며, 홈페이지>커뮤니티>공지사항>에서 신청서를 다운로드 받아 작성하거나 이메일 또는 방문으로 제출할 수 있습니다. 작성이 어려우신 분은 유선 접수가 가능합니다. 일행일정은 2023년 4월~11월 중 자율 선택(주말제외)할 수 있으며, 지원내용으로는 휠체어 및 스쿠터를 실을 수 있는 스타렉스 또는 솔라티, 문화 여가 활동비, 식사비 및 다과비, 운전 기사가 제공됩니다. 여행 후기 작성은 필수로 요구되며, 참여자님의 여행후기는 20줄 이상 작성 부탁드립니다.",http://www.nowonilc.or.kr/bbs/board.php?bo_table=51&wr_id=816,http://www.nowonilc.or.kr/bbs/board.php?bo_table=51&wr_id=816,,2023-08-30 17:28:37.834848
5,노원장애인자립생활센터어울림,['전체'],교육,전체,2023년 천상의 하모니 프로그램 참여자 모집,2023-02-13 15:56:00,"

천상의 하모니는 언어, 청각 장애가 없는 성인 남성 장애인을 대상으로 베이스 1명, 테너 1명, 바리톤 1명을 상시 모집하며, 개별 오디션을 통해 선발하고, 2023년 3월부터 12월까지 주 1회 수요일 18:30~21:30에 성악과 중창곡 연습을 통한 다양한 경연대회 및 공연 참가를 진행합니다. 신청은 홈페이지 신청서 작성 후 이메일 제출 또는 전화 접수로 받습니다. 문의는 02-930-8212 (자립생활팀 김종훈)으로 하시기 바랍니다.",http://www.nowonilc.or.kr/bbs/board.php?bo_table=51&wr_id=807,http://www.nowonilc.or.kr/bbs/board.php?bo_table=51&wr_id=807,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nowon_eoullim_5_2023-08-31_02-28.jpg'],2023-08-30 17:28:37.834848
6,노원장애인자립생활센터어울림,['전체'],교육,전체,'2023 동료상담 네트워크' 참여할 동료상담가를 모집합니다~♥,2023-02-09 17:06:00,"

2023년 노원장애인자립생활센터어울림에서는 동료상담가를 상시 모집하고 있으며, 장애인 및 동료상담에 관심있는 분들을 위해 10명의 정원을 설정하였습니다. 신청기간은 상시이며, 진행기간은 2023년 3월부터 11월까지 월 평균 1회 진행됩니다. 신청은 홈페이지 다운로드 및 이메일 제출, 전화상담을 통해 가능합니다.",http://www.nowonilc.or.kr/bbs/board.php?bo_table=51&wr_id=804,http://www.nowonilc.or.kr/bbs/board.php?bo_table=51&wr_id=804,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nowon_eoullim_6_2023-08-31_02-28.jpg'],2023-08-30 17:28:37.834848
7,노원장애인자립생활센터어울림,['전체'],교육,전체,2023 노원장애인자립생활센터 어울림 사업안내,2023-02-08 09:20:00,"

2023년 노원구에 장애인 자립 생활 센터가 설립되어 장애인들의 자립과 사회적 포근함을 돕고 장애인의 일상생활을 보다 편리하게 하기 위한 다양한 사업이 진행될 예정입니다. 그 중 어울림 사업은 장애인들의 일상생활을 보다 편리하게 하기 위해 장애인들과 일반인들의 교류를 통해 사회적 참여를 돕는 사업입니다.",http://www.nowonilc.or.kr/bbs/board.php?bo_table=51&wr_id=800,http://www.nowonilc.or.kr/bbs/board.php?bo_table=51&wr_id=800,"['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nowon_eoullim_7_2023-08-31_02-28.jpg', 'https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nowon_eoullim_7_2023-08-31_02-28.jpg']",2023-08-30 17:28:37.834848
8,노원장애인자립생활센터어울림,['노원구'],교육,발달,장애인 이동지원차량(특장차) 서비스 이용 안내,2023-01-30 13:32:00,"

노원구 거주 장애인을 대상으로 무료로 이동지원을 하는 어울림은 탑승인원이 5인까지 가능하며, 평일 09:00~18:00 사이에 상시 접수하여 이용할 수 있으며, 톨게이트 비용은 자부담하고 1명당 월 1회 최대 연 12회로 제한하고 있습니다.",http://www.nowonilc.or.kr/bbs/board.php?bo_table=51&wr_id=799,http://www.nowonilc.or.kr/bbs/board.php?bo_table=51&wr_id=799,['https://storage.googleapis.com/byourside-2ea11.appspot.com/autoInformation_images/nowon_eoullim_8_2023-08-31_02-28.jpg'],2023-08-30 17:28:37.834848
9,노원장애인자립생활센터어울림,['전체'],교육,전체,2023 2/4분기(2차) 노원장애인자립생활센터어울림 운영위원회 결과보고,2023-07-18 13:34:00,"

2023년 7월 13일 노원장애인자립생활센터어울림 교육실에서 운영위원회 결과보고가 열렸으며, 정원 7명 중 5명이 참여하고 1명이 위임하여 안교헌, 이성수, 고관철, 정은지, 전태만, 임형찬이 참석하였다. 이때 보고안건으로는 2023년 공모사업 신청 사항과 기타 센터 운영에 관한 사항이 있었고, 의결안건으로는 2023년도 상반기 사업 실적 및 상반기 결산, 2023년도 사업 계획 변경, 2023년도 추가 경정 예산 심의건이 있었으며, 모두 원안 통과되었다.",http://www.nowonilc.or.kr/bbs/board.php?bo_table=51&wr_id=2236,http://www.nowonilc.or.kr/bbs/board.php?bo_table=51&wr_id=2236,,2023-08-30 17:28:37.834848
